,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
66,66,CHEMBL4062803,Cc1n[nH]c2cc(Nc3nc(NC4CC4)c4occc4n3)ccc12,inactive,320.356,3.7254200000000015,3.0,6.0,5.0
67,67,CHEMBL4245507,O=C(Cc1cccc(OCCCN2CCNCC2)c1)Nc1nc(-c2ccncc2)cs1,inactive,437.569,3.0604000000000005,2.0,7.0,5.0
68,68,CHEMBL4641408,c1cc(-c2cc[nH]n2)cc(-c2ccc(OCCN3CCCCC3)cc2)n1,active,348.4500000000001,4.003400000000003,1.0,4.0,6.273680387889224
73,73,CHEMBL3440842,c1cncc(-c2ccc3c(c2)C2(CCNCC2)CC3)c1,inactive,264.3719999999999,3.3160000000000016,1.0,2.0,4.0
74,74,CHEMBL3440842,c1cncc(-c2ccc3c(c2)C2(CCNCC2)CC3)c1,inactive,264.3719999999999,3.3160000000000016,1.0,2.0,4.0
75,75,CHEMBL3440843,c1cc(-c2ccc3c(c2)CCC32CCNCC2)ccn1,inactive,264.3719999999999,3.3160000000000016,1.0,2.0,4.0
76,76,CHEMBL3440843,c1cc(-c2ccc3c(c2)CCC32CCNCC2)ccn1,inactive,264.3719999999999,3.3160000000000016,1.0,2.0,4.0
77,77,CHEMBL3440894,c1cc(-c2ccc3c(c2)C2(CCNCC2)CC3)ccn1,inactive,264.3719999999999,3.3160000000000016,1.0,2.0,4.0
78,78,CHEMBL3440894,c1cc(-c2ccc3c(c2)C2(CCNCC2)CC3)ccn1,inactive,264.3719999999999,3.3160000000000016,1.0,2.0,4.0
79,79,CHEMBL3453884,CC(C)C1CCCN1C(=O)Nc1ccc(=O)n(C)c1,inactive,263.341,2.0376,1.0,3.0,4.0
80,80,CHEMBL3453884,CC(C)C1CCCN1C(=O)Nc1ccc(=O)n(C)c1,inactive,263.341,2.0376,1.0,3.0,4.0
